"";"RSV";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species";"ISSCapoA1";"ISSCapoA2";"ISSCapoA3";"ISSCapoA4";"ISSCapoA5";"ISSCapoA6";"ISSCapoA7";"ISSCapoA8";"ISSCapoA9";"ISSCapoC1";"ISSCapoC2";"ISSCapoC3";"ISSCapoC4";"ISSCapoC5";"ISSCapoC6";"ISSCapoC7";"ISSCapoB1";"ISSCapoB2";"ISSCapoB3";"ISSCapoB4";"ISSCapoB5";"ISSCapoB6";"ISSCapoB7";"ISSCapoB8"
"1";"RSV_0001";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium";NA;0;0;0;0;0;0;0;0;0;0;10;0;0;160;0;0;0;0;0;31;1080;0;0;0
"2";"RSV_0002";"Bacteria";"Cyanobacteria";"Melaibacteria";"Gastraerophilales";NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
"3";"RSV_0003";"Bacteria";"Planctomycetes";"Phycisphaerae";"WD2101_soil_group";NA;NA;NA;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"RSV_0004";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomodales";"Moraxellaceae";"Moraxella";NA;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"RSV_0005";"Bacteria";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Actinomyces";NA;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;60;0;0;0;0
"6";"RSV_0006";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Lautropia";NA;0;0;0;0;0;0;0;0;0;0;84;129;71;0;251;283;0;0;0;0;0;97;0;0
"7";"RSV_0007";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Catonella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0
"8";"RSV_0008";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Coprococcus_2";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
"9";"RSV_0009";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomodales";"Moraxellaceae";"Acinetobacter";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0
"10";"RSV_0010";"Bacteria";"Chloroflexi";"KD4-96";NA;NA;NA;NA;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"RSV_0011";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0
"12";"RSV_0012";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia-Shigella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
"13";"RSV_0013";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Romboutsia";NA;0;0;0;0;0;0;0;0;0;0;0;0;19;674;0;0;0;0;0;0;0;85;0;0
"14";"RSV_0014";"Bacteria";"Planctomycetes";"Planctomycetacia";"Planctomycetales";"Planctomycetaceae";NA;NA;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";"RSV_0015";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromodaceae";"Porphyromos";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0
"16";"RSV_0016";"Bacteria";NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0
"17";"RSV_0017";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia-Shigella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0
"18";"RSV_0018";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Actinobacillus";NA;0;0;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0
"19";"RSV_0019";"Archaea";"Woesearchaeota_(DHVEG-6)";NA;NA;NA;NA;NA;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"RSV_0020";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Eikenella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0
"21";"RSV_0021";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0
"22";"RSV_0022";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0
"23";"RSV_0023";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Anoxybacillus";NA;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";"RSV_0024";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Leuconostocaceae";"Weissella";NA;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
"25";"RSV_0025";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Hyphomicrobiaceae";"Rhodoplanes";NA;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";"RSV_0026";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Coriobacteriaceae";"Atopobium";NA;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;37;0;0;0;0;0;0;0;0
"27";"RSV_0027";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Family_XIII";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;14;43;0;0;0;0;0;0;0;0;0;0
"28";"RSV_0028";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcaceae_UCG-014";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0
"29";"RSV_0029";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomodales";"Pseudomodaceae";"Pseudomos";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"RSV_0030";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_6";NA;NA;NA;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";"RSV_0031";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamodaceae";"Limnohabitans";NA;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";"RSV_0032";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus_1";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0
"33";"RSV_0033";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"[Eubacterium]_hallii_group";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0
"34";"RSV_0034";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Erysipelotrichaceae_UCG-003";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0
"35";"RSV_0035";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Corynebacteriaceae";"Corynebacterium";NA;0;0;0;0;0;0;0;0;0;0;0;68;0;0;125;0;0;0;0;539;669;0;0;0
"36";"RSV_0036";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Christensenellaceae";"Christensenellaceae_R-7_group";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0
"37";"RSV_0037";"Bacteria";"Actinobacteria";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Pseudonocardia";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0
"38";"RSV_0038";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomodales";"Sphingomodaceae";"Sphingomos";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0
"39";"RSV_0039";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Alloiococcus";NA;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"40";"RSV_0040";"Bacteria";"Actinobacteria";"Thermoleophilia";"Solirubrobacterales";"YNPFFP1";NA;NA;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";"RSV_0041";"Bacteria";"Actinobacteria";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Propionibacterium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;52;0;0;0;0
"42";"RSV_0042";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0
"43";"RSV_0043";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Corynebacteriaceae";"Corynebacterium_1";NA;2182;0;0;827;0;212;0;0;0;0;402;836;2032;474;326;149;0;0;0;0;0;0;0;0
"44";"RSV_0044";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Rhodocyclales";"Rhodocyclaceae";"Thauera";NA;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"45";"RSV_0045";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomodales";"Xanthomodaceae";"Stenotrophomos";NA;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"46";"RSV_0046";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0
"47";"RSV_0047";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Pseudoclavibacter";NA;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
