"";"domain";"phylum";"className";"order";"family";"genus";"COLA1";"COLB1";"N2A";"N2B";"N3C1";"N1C"
"1";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Caudovirales";"Podoviridae";"AHJD-like viruses";0,00624984464357683;0,00983909182483418;0,00296249160262115;0,00768306629349859;0,00675203342653737;0,00661734295997638
"2";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Abiotrophia";0,00776957637297487;0,0258595823167964;0,00662433260623319;0,0152116951740282;0,0120547908656864;0,0125660896670171
"3";"Eukaryota";"unclassified (derived from Eukaryota)";"unclassified (derived from Eukaryota)";"unclassified (derived from Eukaryota)";"unclassified (derived from Eukaryota)";"Acanthamoeba";0;0,000862945438766905;0;0;0;0
"4";"Bacteria";"Cyanobacteria";"unclassified (derived from Cyanobacteria)";"unclassified (derived from Cyanobacteria)";"unclassified (derived from Cyanobacteria)";"Acaryochloris";0,00532988542048742;0,00404757288586004;0,00662433260623319;0,00509636962699228;0,00413475915530811;0,00199520397339468
"5";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Acetivibrio";0,00421364439911613;0,00510525406420691;0,00209479790142162;0,00971839556060931;0,00492134776281586;0,00257579725374815
"6";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acetobacter";0,00498565128855637;0,00322884617534507;0,00863707301188355;0,00460983977609916;0,0052027911753827;0,003642727410174
"7";"Bacteria";"Firmicutes";"Clostridia";"Halanaerobiales";"Halobacteroidaceae";"Acetohalobium";0,00565319718566095;0,00404757288586004;0,00296249160262115;0,0066979419099768;0,0044660503226533;0,003642727410174
"8";"Eukaryota";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Acheilognathus";0;0;0;0;0,0011936021556757;0
"9";"Bacteria";"Tenericutes";"Mollicutes";"Acholeplasmatales";"Acholeplasmataceae";"Acholeplasma";0,00595899305624746;0,00395451279376622;0,00209479790142162;0,0063356187713435;0,00358080646702711;0,00325815444506033
"10";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Achromobacter";0,0137186322457944;0,0160980384190259;0,0424681205122851;0,0330282500557786;0,0137652915734641;0,0107445022205799
"11";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Acidaminococcaceae";"Acidaminococcus";0,00903726042349852;0,0132848761672211;0,00628439370426486;0,0210689795120839;0,0130752565070075;0,0110489392911928
"12";"Archaea";"Crenarchaeota";"Thermoprotei";"Acidilobales";"Acidilobaceae";"Acidilobus";0,00188439906188698;0,000862945438766905;0;0;0;0
"13";"Bacteria";"Actinobacteria";"Actinobacteria (class)";"Acidimicrobiales";"Acidimicrobiaceae";"Acidimicrobium";0,00266494271024371;0,00404757288586004;0,00725659279370181;0,00651929793172638;0,00642774432246468;0,00399040794678935
