RSV;Taxonomic classification;ISSCapoA1;ISSCapoA2;ISSCapoA3;ISSCapoA4;ISSCapoA5;ISSCapoA6;ISSCapoA7;ISSCapoA8;ISSCapoA9;ISSCapoC1;ISSCapoC2;ISSCapoC3;ISSCapoC4;ISSCapoC5;ISSCapoC6;ISSCapoC7;ISSCapoB1;ISSCapoB2;ISSCapoB3;ISSCapoB4;ISSCapoB5;ISSCapoB6;ISSCapoB7;ISSCapoB8
RSV_0001;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__";0;0;0;0;0;0;0;0;0;0;10;0;0;160;0;0;0;0;0;31;1080;0;0;0
RSV_0002;"k__Bacteria;p__Cyanobacteria;c__Melaibacteria;o__Gastraerophilales;f__;g__;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
RSV_0003;"k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__";0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0004;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomodales;f__Moraxellaceae;g__Moraxella;s__";73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0005;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__";0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;60;0;0;0;0
RSV_0006;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__";0;0;0;0;0;0;0;0;0;0;84;129;71;0;251;283;0;0;0;0;0;97;0;0
RSV_0007;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0
RSV_0008;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_2;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
RSV_0009;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomodales;f__Moraxellaceae;g__Acinetobacter;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0
RSV_0010;"k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__;s__";0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0011;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0
RSV_0012;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
