domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Podoviridae;AHJD-like viruses;11;130;2;25;32;33
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;17;898;10;98;102;119
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Acanthamoeba;0;1;0;0;0;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);unclassified (derived from Cyanobacteria);unclassified (derived from Cyanobacteria);Acaryochloris;8;22;10;11;12;3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;5;35;1;40;17;5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;7;14;17;9;19;10
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;9;22;2;19;14;10
Eukaryota;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Acheilognathus;0;0;0;0;1;0
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;10;21;1;17;9;8
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;53;348;411;462;133;87
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;23;237;9;188;120;92
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;1;1;0;0;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;2;22;12;18;29;12
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;19;100;66;36;48;58
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;18;45;47;56;30;15
Bacteria;Acidobacteria;Acidobacteria (class);Acidobacteriales;Acidobacteriaceae;Acidobacterium;7;34;22;39;31;26
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Acidothermaceae;Acidothermus;79;571;56;195;331;351
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;219;844;1178;1666;431;319
Archaea;Euryarchaeota;unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);Aciduliprofundum;0;4;0;3;2;3
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;1580;3278;1650;1946;943;2120
Eukaryota;Streptophyta;Liliopsida;Acorales;Acoraceae;Acorus;1;2;2;4;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;148;1262;112;661;909;454
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;895;8742;687;1952;7073;10436
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinosynnemataceae;Actinosynnema;74;600;77;157;320;391
Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon;5;234;31;5;3;9
Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes;9;823;47;20;13;20
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;67;96;19;24;61;154
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Aeromicrobium;22;71;36;48;58;73
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;60;133;91;89;65;98
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;1;4;3;0;7;1
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Aethionema;163;1;0;2;0;2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;4;34;21;25;30;5
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;194;2063;135;1007;1065;899
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;125;330;159;237;227;118
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Agrostis;0;1;0;1;0;2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ahrensia;3;1;4;5;6;1
Eukaryota;Chordata;Mammalia;Carnivora;Ursidae;Ailuropoda;30;148;5;22;24;37
Eukaryota;Chordata;Mammalia;Carnivora;Ailuridae;Ailurus;0;0;0;1;0;0
Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Ajellomyces;6;31;7;11;15;11
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;16;96;6;98;130;41
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Albidiferax;45;224;146;361;86;121
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;416;1623;10836;3892;50;64
Eukaryota;Chordata;Actinopterygii;Notacanthiformes;Halosauridae;Aldrovandia;0;0;0;0;0;1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;6;19;6;18;4;4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus;14;91;92;185;30;29
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;44;93;34;43;46;42
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio;11;62;33;30;25;26
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;19;305;5;295;207;76
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola;13;39;94;49;26;20
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus;82;449;28;300;184;162
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;12;28;69;28;11;8
Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;1;14;3;3;3;3
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Baculoviridae;Alphabaculovirus;0;1;0;0;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Papillomaviridae;Alphapapillomavirus;99;13;2;3;37;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Retroviridae;Alpharetrovirus;0;0;0;0;0;2
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;11;37;38;16;16;13
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Amborellales;Amborellaceae;Amborella;27;1;6;8;1;0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Aminobacterium;4;25;2;9;11;6
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Aminomonas;3;8;3;2;3;3
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Ammonifex;5;16;5;11;9;7
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Pseudonocardiaceae;Amycolatopsis;49;386;64;119;153;316
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Nostocales;Nostocaceae;Anabaena;12;59;27;48;14;21
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Anaerobaculum;6;10;0;2;4;1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Anaerococcus;574;3697;264;1393;1054;1675
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;2;25;0;21;6;12
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Anaeromyxobacter;46;183;62;94;108;130
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;4;67;3;70;43;22
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;9;152;7;175;79;28
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma;3;3;4;1;1;0
Eukaryota;Streptophyta;Marattiopsida;Marattiales;Marattiaceae;Angiopteris;0;1;0;0;0;0
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Anomochloa;0;2;1;1;0;1
Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;11;875;59;19;18;27
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;262;127;12;736;47;49
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Anthracophyllum;0;6;0;0;1;3
Eukaryota;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Apiognomonia;0;0;0;7;0;0
Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;6;418;8;26;4;10
Bacteria;Aquificae;Aquificae (class);Aquificales;Aquificaceae;Aquifex;4;27;12;31;8;11
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Arabidopsis;8973;334;282;241;88;186
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Arabis;278;1;0;0;0;1
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Arcanobacterium;113;868;96;178;564;610
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;7;22;3;12;5;10
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;5;35;8;23;13;10
Eukaryota;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;0;1;0;0;0;0
Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;Arenaria;0;1;0;0;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum;89;138;101;116;44;56
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Arthrobacter;545;2008;774;1188;1927;1547
Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma;12;25;4;18;8;13
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Oscillatoriales;unclassified (derived from Oscillatoriales);Arthrospira;5;14;6;8;6;15
Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus;2;0;0;0;0;0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Aspergillus;135;249;61;109;87;303
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;10;28;18;25;18;17
Eukaryota;Chordata;unclassified (derived from Chordata);unclassified (derived from Chordata);Epigonichthyidae;Asymmetron;0;1;0;0;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Atopobium;24;310;27;181;235;389
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Solanales;Solanaceae;Atropa;10;9;7;7;2;6
